code,county,MSA Code,msa,MSA Type,CSA Code,CSA Title
46071,"Jackson County, South Dakota",,,,,
46073,"Jerauld County, South Dakota",,,,,
46075,"Jones County, South Dakota",,,,,
46077,"Kingsbury County, South Dakota",,,,,
46079,"Lake County, South Dakota",,,,,
46081,"Lawrence County, South Dakota",C4394,"Spearfish, SD",Micro,CS452,"Rapid City-Spearfish, SD"
46083,"Lincoln County, South Dakota",C4362,"Sioux Falls, SD",Metro,,
46085,"Lyman County, South Dakota",,,,,
46087,"McCook County, South Dakota",C4362,"Sioux Falls, SD",Metro,,
46089,"McPherson County, South Dakota",,,,,
46091,"Marshall County, South Dakota",,,,,
46093,"Meade County, South Dakota",C3966,"Rapid City, SD",Metro,CS452,"Rapid City-Spearfish, SD"
46095,"Mellette County, South Dakota",,,,,
46097,"Miner County, South Dakota",,,,,
46099,"Minnehaha County, South Dakota",C4362,"Sioux Falls, SD",Metro,,
46101,"Moody County, South Dakota",,,,,
46102,"Oglala Lakota County, South Dakota",,,,,
46103,"Pennington County, South Dakota",C3966,"Rapid City, SD",Metro,CS452,"Rapid City-Spearfish, SD"
46105,"Perkins County, South Dakota",,,,,
46107,"Potter County, South Dakota",,,,,
46109,"Roberts County, South Dakota",,,,,
46111,"Sanborn County, South Dakota",,,,,
46113,"Shannon County, South Dakota",,,,,
46115,"Spink County, South Dakota",,,,,
46117,"Stanley County, South Dakota",C3818,"Pierre, SD",Micro,,
46119,"Sully County, South Dakota",C3818,"Pierre, SD",Micro,,
46121,"Todd County, South Dakota",,,,,
46123,"Tripp County, South Dakota",,,,,
46125,"Turner County, South Dakota",C4362,"Sioux Falls, SD",Metro,,
46127,"Union County, South Dakota",C4358,"Sioux City, IA-NE-SD",Metro,CS512,"Sioux City-Vermillion, IA-SD-NE"
46129,"Walworth County, South Dakota",,,,,
46131,"Washabaugh County, South Dakota",,,,,
46135,"Yankton County, South Dakota",C4946,"Yankton, SD",Micro,,
46137,"Ziebach County, South Dakota",,,,,
47001,"Anderson County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47003,"Bedford County, Tennessee",C4318,"Shelbyville, TN",Micro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47005,"Benton County, Tennessee",,,,,
47007,"Bledsoe County, Tennessee",,,,,
47009,"Blount County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47011,"Bradley County, Tennessee",C1742,"Cleveland, TN",Metro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
47013,"Campbell County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47015,"Cannon County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47017,"Carroll County, Tennessee",,,,,
47019,"Carter County, Tennessee",C2774,"Johnson City, TN",Metro,CS304,"Johnson City-Kingsport-Bristol, TN-VA"
47021,"Cheatham County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47023,"Chester County, Tennessee",C2718,"Jackson, TN",Metro,,
47025,"Claiborne County, Tennessee",,,,,
47027,"Clay County, Tennessee",,,,,
47029,"Cocke County, Tennessee",C3546,"Newport, TN",Micro,CS314,"Knoxville-Morristown-Sevierville, TN"
47031,"Coffee County, Tennessee",C4610,"Tullahoma-Manchester, TN",Micro,,
47033,"Crockett County, Tennessee",C2718,"Jackson, TN",Metro,,
47035,"Cumberland County, Tennessee",C1890,"Crossville, TN",Micro,,
47037,"Davidson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47039,"Decatur County, Tennessee",,,,,
47041,"DeKalb County, Tennessee",,,,,
47043,"Dickson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47045,"Dyer County, Tennessee",C2054,"Dyersburg, TN",Micro,,
47047,"Fayette County, Tennessee",C3282,"Memphis, TN-MS-AR",Metro,CS368,"Memphis-Forrest City, TN-MS-AR"
47049,"Fentress County, Tennessee",,,,,
47051,"Franklin County, Tennessee",C4610,"Tullahoma-Manchester, TN",Micro,,
47053,"Gibson County, Tennessee",,,,,
47055,"Giles County, Tennessee",,,,,
47057,"Grainger County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47059,"Greene County, Tennessee",C2462,"Greeneville, TN",Micro,,
47061,"Grundy County, Tennessee",,,,,
47063,"Hamblen County, Tennessee",C3410,"Morristown, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47065,"Hamilton County, Tennessee",C1686,"Chattanooga, TN-GA",Metro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
47067,"Hancock County, Tennessee",,,,,
47069,"Hardeman County, Tennessee",,,,,
47071,"Hardin County, Tennessee",,,,,
47073,"Hawkins County, Tennessee",C2870,"Kingsport-Bristol-Bristol, TN-VA",Metro,CS304,"Johnson City-Kingsport-Bristol, TN-VA"
47075,"Haywood County, Tennessee",,,,,
47077,"Henderson County, Tennessee",,,,,
47079,"Henry County, Tennessee",C3754,"Paris, TN",Micro,,
47081,"Hickman County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47083,"Houston County, Tennessee",,,,,
47085,"Humphreys County, Tennessee",,,,,
47087,"Jackson County, Tennessee",C1826,"Cookeville, TN",Micro,,
47089,"Jefferson County, Tennessee",C3410,"Morristown, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47091,"Johnson County, Tennessee",,,,,
47093,"Knox County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47095,"Lake County, Tennessee",,,,,
47097,"Lauderdale County, Tennessee",,,,,
47099,"Lawrence County, Tennessee",C2998,"Lawrenceburg, TN",Micro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47101,"Lewis County, Tennessee",,,,,
47103,"Lincoln County, Tennessee",,,,,
47105,"Loudon County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47107,"McMinn County, Tennessee",C1194,"Athens, TN",Micro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
47109,"McNairy County, Tennessee",,,,,
47111,"Macon County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47113,"Madison County, Tennessee",C2718,"Jackson, TN",Metro,,
47115,"Marion County, Tennessee",C1686,"Chattanooga, TN-GA",Metro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
47117,"Marshall County, Tennessee",C3028,"Lewisburg, TN",Micro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47119,"Maury County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47121,"Meigs County, Tennessee",,,,,
47123,"Monroe County, Tennessee",,,,,
47125,"Montgomery County, Tennessee",C1730,"Clarksville, TN-KY",Metro,,
47127,"Moore County, Tennessee",C4610,"Tullahoma-Manchester, TN",Micro,,
47129,"Morgan County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47131,"Obion County, Tennessee",C4646,"Union City, TN-KY",Micro,CS362,"Martin-Union City, TN-KY"
47133,"Overton County, Tennessee",C1826,"Cookeville, TN",Micro,,
47135,"Perry County, Tennessee",,,,,
47137,"Pickett County, Tennessee",,,,,
47139,"Polk County, Tennessee",C1742,"Cleveland, TN",Metro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
47141,"Putnam County, Tennessee",C1826,"Cookeville, TN",Micro,,
47143,"Rhea County, Tennessee",C1942,"Dayton, TN",Micro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
47145,"Roane County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47147,"Robertson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47149,"Rutherford County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47151,"Scott County, Tennessee",,,,,
47153,"Sequatchie County, Tennessee",C1686,"Chattanooga, TN-GA",Metro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
47155,"Sevier County, Tennessee",C4294,"Sevierville, TN",Micro,CS314,"Knoxville-Morristown-Sevierville, TN"
47157,"Shelby County, Tennessee",C3282,"Memphis, TN-MS-AR",Metro,CS368,"Memphis-Forrest City, TN-MS-AR"
47159,"Smith County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47161,"Stewart County, Tennessee",,,,,
47163,"Sullivan County, Tennessee",C2870,"Kingsport-Bristol-Bristol, TN-VA",Metro,CS304,"Johnson City-Kingsport-Bristol, TN-VA"
47165,"Sumner County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47167,"Tipton County, Tennessee",C3282,"Memphis, TN-MS-AR",Metro,CS368,"Memphis-Forrest City, TN-MS-AR"
47169,"Trousdale County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47171,"Unicoi County, Tennessee",C2774,"Johnson City, TN",Metro,CS304,"Johnson City-Kingsport-Bristol, TN-VA"
47173,"Union County, Tennessee",C2894,"Knoxville, TN",Metro,CS314,"Knoxville-Morristown-Sevierville, TN"
47175,"Van Buren County, Tennessee",,,,,
47177,"Warren County, Tennessee",C3266,"McMinnville, TN",Micro,,
47179,"Washington County, Tennessee",C2774,"Johnson City, TN",Metro,CS304,"Johnson City-Kingsport-Bristol, TN-VA"
47181,"Wayne County, Tennessee",,,,,
47183,"Weakley County, Tennessee",C3228,"Martin, TN",Micro,CS362,"Martin-Union City, TN-KY"
47185,"White County, Tennessee",,,,,
47187,"Williamson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
47189,"Wilson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,CS400,"Nashville-Davidson--Murfreesboro, TN"
48001,"Anderson County, Texas",C3730,"Palestine, TX",Micro,,
48003,"Andrews County, Texas",C1138,"Andrews, TX",Micro,,
48005,"Angelina County, Texas",C3126,"Lufkin, TX",Micro,,
48007,"Aransas County, Texas",C1858,"Corpus Christi, TX",Metro,CS204,"Corpus Christi-Kingsville-Alice, TX"
48009,"Archer County, Texas",C4866,"Wichita Falls, TX",Metro,,
48011,"Armstrong County, Texas",C1110,"Amarillo, TX",Metro,CS108,"Amarillo-Borger, TX"
48013,"Atascosa County, Texas",C4170,"San Antonio-New Braunfels, TX",Metro,,
48015,"Austin County, Texas",C2642,"Houston-The Woodlands-Sugar Land, TX",Metro,CS288,"Houston-The Woodlands, TX"
48017,"Bailey County, Texas",,,,,
48019,"Bandera County, Texas",C4170,"San Antonio-New Braunfels, TX",Metro,,
48021,"Bastrop County, Texas",C1242,"Austin-Round Rock, TX",Metro,,
48023,"Baylor County, Texas",,,,,
48025,"Bee County, Texas",C1330,"Beeville, TX",Micro,,
48027,"Bell County, Texas",C2866,"Killeen-Temple, TX",Metro,,
48029,"Bexar County, Texas",C4170,"San Antonio-New Braunfels, TX",Metro,,
48031,"Blanco County, Texas",,,,,
48033,"Borden County, Texas",,,,,
48035,"Bosque County, Texas",,,,,
48037,"Bowie County, Texas",C4550,"Texarkana, TX-AR",Metro,,
48039,"Brazoria County, Texas",C2642,"Houston-The Woodlands-Sugar Land, TX",Metro,CS288,"Houston-The Woodlands, TX"
48041,"Brazos County, Texas",C1778,"College Station-Bryan, TX",Metro,,
48043,"Brewster County, Texas",,,,,
48045,"Briscoe County, Texas",,,,,
48047,"Brooks County, Texas",,,,,
48049,"Brown County, Texas",C1522,"Brownwood, TX",Micro,,
48051,"Burleson County, Texas",C1778,"College Station-Bryan, TX",Metro,,
48053,"Burnet County, Texas",,,,,
48055,"Caldwell County, Texas",C1242,"Austin-Round Rock, TX",Metro,,
48057,"Calhoun County, Texas",C3892,"Port Lavaca, TX",Micro,CS544,"Victoria-Port Lavaca, TX"
48059,"Callahan County, Texas",C1018,"Abilene, TX",Metro,,
48061,"Cameron County, Texas",C1518,"Brownsville-Harlingen, TX",Metro,CS154,"Brownsville-Harlingen-Raymondville, TX"
48063,"Camp County, Texas",,,,,
48065,"Carson County, Texas",C1110,"Amarillo, TX",Metro,CS108,"Amarillo-Borger, TX"
48067,"Cass County, Texas",,,,,
48069,"Castro County, Texas",,,,,
48071,"Chambers County, Texas",C2642,"Houston-The Woodlands-Sugar Land, TX",Metro,CS288,"Houston-The Woodlands, TX"
